trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 2.0}",25,0,-123.83061708954658,"{0: 14, 1: 0, 2: 10, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-161.01215912935692,"{0: 7, 1: 6, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.6666666666666666}",30,0,-202.51369962018666,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.5}",20,0,-108.17903440177314,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.4}",25,0,-105.3900871279271,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.3333333333333333}",20,0,-206.26039753586937,"{0: 8, 1: 1, 2: 7, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.2857142857142857}",25,0,-66.50410035510693,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.25}",20,0,-98.46726129485613,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.2222222222222222}",25,0,-150.72777605890846,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.2}",20,0,-101.0815155288677,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.18181818181818182}",20,0,-39.35466407160585,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.16666666666666666}",20,0,-159.43255882063224,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.15384615384615385}",25,0,-97.18247262588392,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.14285714285714285}",20,0,-57.843087799341504,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.13333333333333333}",30,0,-138.8447487685584,"{0: 15, 1: 6, 2: 7, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.125}",25,0,-155.79294828173155,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.11764705882352941}",30,1,-102.7441673515215,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.1111111111111111}",25,0,-47.57420012370588,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.10526315789473684}",25,0,-201.49347178024286,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.1}",20,0,-110.71959773825434,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,0,-121.30707321063949,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-124.77798531707248,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",25,0,-151.25701537074602,"{0: 14, 1: 3, 2: 3, 3: 4, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-165.74673459473823,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-121.07832329538786,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-67.74963459822216,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-189.11514471691248,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",25,11,-55.39933870061747,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,0,-49.31982038596135,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-117.19479311996886,"{0: 12, 1: 5, 2: 6, 3: 2, 4: 0}",0
